track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined
tormenta (feat. bad bunny),"gorillaz, bad bunny",2,2023,2,24,1529,0,149778242,32,18,39,2,0,95,,Major,64,30,77,46,0,38,6,"tormenta (feat. bad bunny) gorillaz, bad bunny"
on the street (with j. cole),"j-hope, j. cole",2,2023,3,3,615,2,116599790,22,82,8,0,9,94,B,Minor,68,81,82,53,0,9,13,"on the street (with j. cole) j-hope, j. cole"
one thing at a time,morgan wallen,1,2022,12,2,811,4,148469433,11,58,5,0,21,142,G,Major,61,92,91,0,0,26,3,one thing at a time morgan wallen
miss you,"robin schulz, oliver tree",2,2022,8,5,5730,10,497225336,108,16,197,3,165,145,F#,Minor,59,20,74,1,0,15,5,"miss you robin schulz, oliver tree"
ainï¿½ï¿½ï¿½t tha,morgan wallen,1,2023,3,3,356,4,88791109,4,20,0,0,0,121,F#,Minor,64,67,80,0,0,36,3,ainï¿½ï¿½ï¿½t tha morgan wallen
thinkinï¿½ï¿½ï¿½ b,morgan wallen,1,2023,3,3,604,6,125917280,22,101,0,0,66,140,D#,Minor,66,43,76,49,0,12,3,thinkinï¿½ï¿½ï¿½ b morgan wallen
private landing (feat. justin bieber & future),"don toliver, future, justin bieber",3,2023,2,23,1190,0,105062254,29,3,18,0,19,137,C#,Minor,84,44,67,8,0,11,6,"private landing (feat. justin bieber & future) don toliver, future, justin bieber"
everything i love,morgan wallen,1,2023,1,31,579,0,95623148,11,54,0,0,103,104,G#,Major,56,72,85,0,0,15,3,everything i love morgan wallen
heaven,niall horan,1,2023,2,17,1553,2,144584800,61,6,48,0,150,92,F,Major,57,68,76,7,0,33,3,heaven niall horan
let go,central cee,1,2022,12,15,2301,20,298063749,49,23,110,0,8,146,D,Minor,74,51,45,86,0,21,38,let go central cee
sial,mahalini,1,2023,1,23,134,4,166570053,4,6,0,0,23,120,D,Major,56,20,43,89,0,12,4,sial mahalini
i wrote the book,morgan wallen,1,2023,1,31,430,0,83021468,15,17,0,0,0,144,D,Major,68,83,81,9,0,8,4,i wrote the book morgan wallen
"apna bana le (from ""bhediya"")","arijit singh, sachin-jigar",2,2022,11,5,86,0,139836056,11,101,0,0,48,94,A,Major,59,44,56,80,0,6,3,"apna bana le (from ""bhediya"") arijit singh, sachin-jigar"
spit in my face!,thxsomch,1,2022,10,31,629,14,303216294,32,3,9,0,0,94,G#,Major,73,65,79,5,2,11,6,spit in my face! thxsomch
playa del inglï¿½,"myke towers, quevedo",2,2022,12,15,1701,15,221409663,30,15,34,2,47,113,G,Minor,79,66,74,8,0,11,5,"playa del inglï¿½ myke towers, quevedo"
man made a bar (feat. eric church),"morgan wallen, eric church",2,2023,3,3,329,0,58890931,14,35,1,0,0,148,E,Major,50,49,76,12,0,12,3,"man made a bar (feat. eric church) morgan wallen, eric church"
red ruby da sleeze,nicki minaj,1,2023,3,3,1168,0,81419389,45,11,20,0,21,98,C#,Major,70,29,73,12,0,11,26,red ruby da sleeze nicki minaj
kahani suno 2.0,kaifi khalil,1,2022,5,31,162,6,156777415,1,10,1,0,1,140,B,Major,58,26,38,91,0,10,4,kahani suno 2.0 kaifi khalil
nobody gets me,sza,1,2022,12,9,2536,6,284908316,59,100,58,13,2,100,G,Major,36,28,28,81,0,18,3,nobody gets me sza
pero tï¿,"karol g, quevedo",2,2023,2,23,387,11,93438910,11,15,14,3,1,140,F#,Major,86,68,79,39,0,11,29,"pero tï¿ karol g, quevedo"
hype boy,newjeans,1,2022,8,1,892,17,363472647,20,119,12,2,7,100,E,Minor,59,78,94,27,0,29,23,hype boy newjeans
bloody mary,lady gaga,1,2011,1,1,3909,0,372476382,66,26,277,3,734,100,A,Minor,59,49,65,2,0,13,3,bloody mary lady gaga
monotonï¿½,"ozuna, shakira",2,2022,10,19,3645,15,380726517,118,34,150,4,19,132,,Minor,87,82,70,42,0,21,5,"monotonï¿½ ozuna, shakira"
ýýý98 braves,morgan wallen,1,2023,3,3,282,0,56533272,6,15,0,0,0,142,D,Major,49,48,67,10,0,26,3,ýýý98 braves morgan wallen
wanda,quevedo,1,2023,1,20,888,22,175399345,11,24,7,1,7,176,E,Minor,72,96,63,25,0,21,7,wanda quevedo
thought you should know,morgan wallen,1,2022,5,6,968,4,203221468,16,53,1,0,61,140,F#,Major,53,51,70,49,0,14,3,thought you should know morgan wallen
in the end,linkin park,1,2000,10,24,25065,6,1624165576,63,0,"6,808",2,0,105,D#,Minor,55,40,90,1,0,32,6,in the end linkin park
zona de perigo,leo santana,1,2022,12,8,531,4,134294498,20,1,71,2,0,135,F,Major,81,97,77,75,0,35,3,zona de perigo leo santana
lovezinho,treyce,1,2022,7,28,242,0,70069745,12,2,13,0,4,128,E,Minor,82,61,59,30,0,12,4,lovezinho treyce
i like you (a happier song) (with doja cat),"post malone, doja cat",2,2022,6,3,5281,14,609293408,94,21,80,15,38,101,F,Major,74,43,69,12,0,12,7,"i like you (a happier song) (with doja cat) post malone, doja cat"
neverita,bad bunny,1,2022,5,6,2590,30,671365962,20,64,35,6,0,122,A#,Major,88,43,50,7,0,14,5,neverita bad bunny
vista al mar,quevedo,1,2022,9,8,1769,34,362361576,16,19,21,3,4,105,,Minor,76,49,56,80,12,10,13,vista al mar quevedo
sem alianï¿½ï¿½a no,"mc xenon, os gemeos da putaria",2,2022,12,23,454,4,93587665,6,1,21,0,1,83,C#,Major,53,40,36,73,0,11,33,"sem alianï¿½ï¿½a no mc xenon, os gemeos da putaria"
