track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined
chanel,"becky g, peso pluma",2,2023,3,30,681,10,161460990,15,92,21,2,26,132,D,Major,85,53,68,40,0,9,4,"chanel becky g, peso pluma"
self love (spider-man: across the spider-verse) (metro boomin & coi leray),"metro boomin, coi leray",2,2023,6,2,332,5,70106975,18,41,5,0,19,120,A,Major,78,5,30,21,0,13,5,"self love (spider-man: across the spider-verse) (metro boomin & coi leray) metro boomin, coi leray"
area codes,"kaliii, kaliii",2,2023,3,17,1197,13,113509496,44,34,25,1,171,155,C#,Major,82,51,39,2,0,9,49,"area codes kaliii, kaliii"
abcdario,"junior h, eden muï¿½ï",2,2023,5,13,262,5,89933133,8,60,4,1,109,129,G#,Major,70,42,43,78,0,11,3,"abcdario junior h, eden muï¿½ï"
obsessed,"abhijay sharma, riar saab",2,2022,9,29,161,6,71007139,10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9,"obsessed abhijay sharma, riar saab"
piï¿½ï¿½man deï¿,"semicenk, doï¿½ï¿½u",2,2023,6,2,185,3,43522589,5,6,4,1,33,98,A#,Minor,73,45,62,28,0,13,13,"piï¿½ï¿½man deï¿ semicenk, doï¿½ï¿½u"
flower,jisoo,1,2023,3,31,839,18,232896922,20,110,20,0,69,124,A,Minor,84,64,39,3,0,11,4,flower jisoo
"all the way live (spider-man: across the spider-verse) (metro boomin & future, lil uzi vert)","future, lil uzi vert, metro boomin",3,2023,6,2,259,0,37126685,5,17,5,0,0,135,A,Minor,77,28,55,18,0,22,15,"all the way live (spider-man: across the spider-verse) (metro boomin & future, lil uzi vert) future, lil uzi vert, metro boomin"
eyes closed,ed sheeran,1,2023,3,23,2915,30,195576623,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6,eyes closed ed sheeran
escapism.,"raye, 070 shake",2,2022,10,12,5129,25,532336353,116,84,114,18,348,96,D,Major,54,25,74,14,0,9,11,"escapism. raye, 070 shake"
la jumpa,"arcangel, bad bunny",2,2022,11,30,3794,34,538115192,47,77,53,10,8,123,G#,Major,71,58,70,30,0,32,19,"la jumpa arcangel, bad bunny"
karma (feat. ice spice),"taylor swift, ice spice",2,2023,5,26,588,0,46142772,23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6,"karma (feat. ice spice) taylor swift, ice spice"
superhero (heroes & villains) [with future & chris brown],"future, chris brown, metro boomin",3,2022,12,2,2959,16,401036314,41,69,38,0,36,117,F,Minor,72,45,59,14,0,20,21,"superhero (heroes & villains) [with future & chris brown] future, chris brown, metro boomin"
las morras,"blessd, peso pluma",2,2023,4,4,291,8,127026613,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4,"las morras blessd, peso pluma"
chorrito pa las animas,feid,1,2022,12,2,2321,36,345031710,29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6,chorrito pa las animas feid
ch y la pizza,"fuerza regida, natanael cano",2,2022,12,1,536,10,288101651,10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13,"ch y la pizza fuerza regida, natanael cano"
snow on the beach (feat. more lana del rey),"lana del rey, taylor swift",2,2023,5,26,359,2,60350538,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3,"snow on the beach (feat. more lana del rey) lana del rey, taylor swift"
players,coi leray,1,2022,11,30,4096,6,335074782,118,48,143,0,240,105,F#,Major,95,62,52,3,0,5,16,players coi leray
bite me,enhypen,1,2023,5,22,349,69,76767396,8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14,bite me enhypen
stand by me (feat. morgan wallen),"lil durk, morgan wallen",2,2023,5,26,381,5,46065667,23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3,"stand by me (feat. morgan wallen) lil durk, morgan wallen"
normal,feid,1,2022,7,8,2461,36,459276435,47,66,45,5,6,170,E,Minor,71,59,56,4,0,27,12,normal feid
hummingbird (metro boomin & james blake),"james blake, metro boomin",2,2023,6,2,277,1,39666245,1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13,"hummingbird (metro boomin & james blake) james blake, metro boomin"
seu brilho sumiu - ao vivo,"israel & rodolffo, mari fernandez",2,2023,3,1,967,5,138517666,7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5,"seu brilho sumiu - ao vivo israel & rodolffo, mari fernandez"
bad habit,steve lacy,1,2022,6,29,8186,12,822633917,155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4,bad habit steve lacy
cuff it,beyoncï¿,1,2022,7,29,7842,10,595900742,215,88,330,26,23,115,G,Major,78,64,69,4,0,7,14,cuff it beyoncï¿
lilith (feat. suga of bts) (diablo iv anthem),"halsey, suga",2,2023,6,5,215,6,51985779,6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8,"lilith (feat. suga of bts) (diablo iv anthem) halsey, suga"
69,"nicky jam, feid",2,2023,5,18,1134,22,57945987,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23,"69 nicky jam, feid"
niï¿½ï¿½a bo,"sean paul, feid",2,2023,4,21,1305,34,115010040,29,26,43,5,44,91,G,Major,82,47,62,10,0,10,15,"niï¿½ï¿½a bo sean paul, feid"
search & rescue,drake,1,2023,4,7,2066,6,175097833,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7,search & rescue drake
america has a problem (feat. kendrick lamar),"kendrick lamar, beyoncï¿",2,2023,5,19,896,0,57089066,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4,"america has a problem (feat. kendrick lamar) kendrick lamar, beyoncï¿"
lavender haze,taylor swift,1,2022,10,21,3763,8,488386797,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,lavender haze taylor swift
"link up (metro boomin & don toliver, wizkid feat. beam & toian) - spider-verse remix (spider-man: across the spider-verse )","wizkid, toian, metro boomin, don toliver, beam",5,2023,6,2,197,0,32761689,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8,"link up (metro boomin & don toliver, wizkid feat. beam & toian) - spider-verse remix (spider-man: across the spider-verse ) wizkid, toian, metro boomin, don toliver, beam"
efecto,bad bunny,1,2022,5,6,4004,33,1047480053,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5,efecto bad bunny
erro gostoso - ao vivo,simone mendes,1,2023,1,27,984,5,153454328,8,57,76,2,49,154,F#,Major,59,63,89,18,0,80,9,erro gostoso - ao vivo simone mendes
cupido,tini,1,2023,2,14,1240,24,217672943,51,29,63,4,54,120,A,Major,91,63,58,52,0,31,22,cupido tini
just wanna rock,lil uzi vert,1,2022,10,17,3995,13,457184829,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3,just wanna rock lil uzi vert
unstoppable,sia,1,2016,1,21,7681,13,939844851,119,66,"1,145",2,,174,A,Major,47,27,78,11,0,10,8,unstoppable sia
until i found you,stephen sanchez,1,2021,9,1,4427,4,726434358,69,100,154,20,438,202,A#,Major,34,25,51,69,0,18,4,until i found you stephen sanchez
rich flex,"drake, 21 savage",2,2022,11,4,4657,18,573633020,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24,"rich flex drake, 21 savage"
easy on me,adele,1,2021,10,14,10195,20,1406111294,258,87,657,22,9,142,F,Major,60,13,37,58,0,13,3,easy on me adele
cartï¿½ï¿½o b,"mc caverinha, kayblack",2,2023,5,11,269,4,71573339,7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64,"cartï¿½ï¿½o b mc caverinha, kayblack"
danger (spider) (offset & jid),"offset, jid",2,2023,6,2,214,0,24975653,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12,"danger (spider) (offset & jid) offset, jid"
oi balde - ao vivo,zï¿½ï¿½ neto & crist,1,2023,2,14,845,2,145458418,12,57,47,1,33,108,D,Major,67,55,67,60,0,80,5,oi balde - ao vivo zï¿½ï¿½ neto & crist
the real slim shady,eminem,1,2000,1,1,20763,27,1424589568,81,53,"3,271",1,17,104,F,Minor,95,78,66,3,0,4,6,the real slim shady eminem
mercho,"migrantes, lil cake, nico valdi",3,2022,12,16,1267,20,231332117,41,22,56,4,84,93,F#,Minor,84,96,79,43,0,18,11,"mercho migrantes, lil cake, nico valdi"
the color violet,tory lanez,1,2021,12,10,2585,32,415932686,3,79,21,1,54,105,F#,Minor,65,46,53,16,0,9,5,the color violet tory lanez
glimpse of us,joji,1,2022,6,10,6330,6,988515741,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5,glimpse of us joji
mejor que yo,"mambo kingz, dj luian, anuel aa",3,2023,5,4,675,1,50847624,9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5,"mejor que yo mambo kingz, dj luian, anuel aa"
curtains,ed sheeran,1,2023,5,5,715,0,39893489,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5,curtains ed sheeran
unforgiven (feat. nile rodgers),"nile rodgers, le sserafim",2,2023,5,1,327,13,92035115,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5,"unforgiven (feat. nile rodgers) nile rodgers, le sserafim"
haegeum,agust d,1,2023,4,21,244,12,118810253,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30,haegeum agust d
conexï¿½ï¿½es de mï¿½ï¿½fia (feat. rich,"rich the kid, matuï¿",2,2023,4,30,385,4,77233241,17,7,41,1,29,117,F#,Minor,77,69,58,39,0,26,5,"conexï¿½ï¿½es de mï¿½ï¿½fia (feat. rich rich the kid, matuï¿"
mientras me curo del cora,karol g,1,2023,2,24,1020,35,206399629,15,26,30,6,0,80,,Major,52,57,48,86,0,15,39,mientras me curo del cora karol g
never felt so alone,labrinth,1,2023,4,7,1730,3,117747907,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5,never felt so alone labrinth
x si volvemos,"karol g, romeo santos",2,2023,2,2,2127,33,266624541,45,80,53,8,4,178,C#,Minor,79,58,78,34,0,11,25,"x si volvemos karol g, romeo santos"
ceilings,lizzy mcalpine,1,2022,4,8,3242,9,293186992,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3,ceilings lizzy mcalpine
cupid,fifty fifty,1,2023,2,24,526,10,139681964,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3,cupid fifty fifty
i am,ive,1,2023,4,10,366,15,123132751,16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5,i am ive
cupid ï¿½ï¿½ï¿½ twin ver. (fifty fifty) ï¿½ï¿½ï¿½ spe,sped up 8282,1,1997,1,1,472,2,103762518,0,0,6,0,0,144,F,Major,74,75,73,42,0,9,4,cupid ï¿½ï¿½ï¿½ twin ver. (fifty fifty) ï¿½ï¿½ï¿½ spe sped up 8282
shorty party,"cartel de santa, la kelly",2,2023,3,4,432,12,162887075,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36,"shorty party cartel de santa, la kelly"
super,seventeen,1,2023,4,24,271,12,91221625,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9,super seventeen
slut me out,nle choppa,1,2022,4,22,816,4,190490915,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42,slut me out nle choppa
double fantasy (with future),"the weeknd, future",2,2023,4,21,1169,0,96180277,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3,"double fantasy (with future) the weeknd, future"
all of the girls you loved before,taylor swift,1,2019,8,23,1282,6,185240616,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4,all of the girls you loved before taylor swift
provenza,karol g,1,2022,4,21,6587,34,885093467,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5,provenza karol g
princess diana (with nicki minaj),"nicki minaj, ice spice",2,2023,4,14,1444,4,104992946,0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19,"princess diana (with nicki minaj) nicki minaj, ice spice"
di que si,"grupo marca registrada, grupo frontera",2,2023,2,3,356,10,147290338,4,64,4,2,37,182,A,Major,57,80,59,8,0,6,5,"di que si grupo marca registrada, grupo frontera"
shivers,ed sheeran,1,2021,9,9,10147,30,1302184087,234,71,543,18,,141,D,Major,79,82,86,28,0,4,9,shivers ed sheeran
igualito a mi apï¿,"fuerza regida, peso pluma",2,2022,12,30,265,6,158950978,8,84,5,1,4,145,E,Minor,76,80,81,19,0,6,9,"igualito a mi apï¿ fuerza regida, peso pluma"
shoong! (feat. lisa of blackpink),"taeyang, lisa",2,2023,4,25,351,9,76910644,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6,"shoong! (feat. lisa of blackpink) taeyang, lisa"
komang,raim laode,1,2022,8,16,158,4,137123880,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3,komang raim laode
despechï¿,rosalï¿½,1,2022,7,28,7613,33,782369383,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10,despechï¿ rosalï¿½
made you look,meghan trainor,1,2022,10,21,3956,6,502574952,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7,made you look meghan trainor
watch this - arizonatears pluggnb remix,"sped up nightcore, arizonatears, lil uzi vert",3,2023,2,5,1638,10,207033255,0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4,"watch this - arizonatears pluggnb remix sped up nightcore, arizonatears, lil uzi vert"
no se va,grupo frontera,1,2022,4,28,924,18,404887295,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3,no se va grupo frontera
punto g,quevedo,1,2022,11,4,1985,35,381161027,34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15,punto g quevedo
lovers rock,tv girl,1,2014,6,5,6339,13,466231982,3,1,36,1,37,105,F,Minor,56,57,87,0,1,10,4,lovers rock tv girl
metamorphosis,interworld,1,2021,11,25,1561,24,357580552,18,78,24,0,30,175,G,Minor,59,15,64,43,90,12,10,metamorphosis interworld
mami chula,"quevedo, jhayco",2,2023,4,27,875,4,61105704,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4,"mami chula quevedo, jhayco"
en paris,"el chachito, junior h",2,2022,12,24,406,5,198275403,3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5,"en paris el chachito, junior h"
set me free pt.2,jimin,1,2023,3,17,340,13,168448603,4,71,16,1,9,132,,Minor,59,56,82,12,0,12,6,set me free pt.2 jimin
i was never there,"the weeknd, gesaffelstein",2,2018,3,29,4188,15,705469769,30,70,142,0,27,114,A#,Major,32,17,74,14,0,17,3,"i was never there the weeknd, gesaffelstein"
don't ever say love me (feat. rm of bts),"rm, colde",2,2023,5,4,105,0,34502215,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5,"don't ever say love me (feat. rm of bts) rm, colde"
shut down,blackpink,1,2022,9,16,1524,17,482175240,53,120,62,0,2,110,,Major,82,67,69,0,0,18,4,shut down blackpink
gato de noche,"nengo flow, bad bunny",2,2022,12,22,2651,30,304118600,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16,"gato de noche nengo flow, bad bunny"
call out my name,the weeknd,1,2018,3,29,11087,6,1449799467,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4,call out my name the weeknd
like crazy (english version),jimin,1,2023,3,24,373,19,173627354,4,72,5,0,5,120,G,Major,62,32,76,0,0,39,4,like crazy (english version) jimin
rosa pastel,"jasiel nuï¿½ï¿½ez, peso p",2,2023,2,2,200,4,90025258,8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4,"rosa pastel jasiel nuï¿½ï¿½ez, peso p"
sunroof,"nicky youre, dazy",2,2021,12,3,3741,17,652704649,156,35,110,19,0,131,A#,Major,77,84,71,35,0,15,4,"sunroof nicky youre, dazy"
lose yourself - soundtrack version,eminem,1,2002,1,1,32502,21,1829992958,247,54,"5,567",1,51,171,D,Major,70,6,73,1,0,36,26,lose yourself - soundtrack version eminem
superman,"eminem, dina rae",2,2002,5,26,7615,14,655466831,18,51,"1,005",0,0,130,E,Minor,80,64,76,2,0,20,6,"superman eminem, dina rae"
mas rica que ayer,"mambo kingz, dj luian, anuel aa",3,2023,3,2,1208,34,146409671,10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8,"mas rica que ayer mambo kingz, dj luian, anuel aa"
people pt.2 (feat. iu),"iu, agust d",2,2023,4,7,209,4,95816024,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6,"people pt.2 (feat. iu) iu, agust d"
remix exclusivo,feid,1,2023,3,17,1235,9,117206995,20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20,remix exclusivo feid
"arcï¿½ï¿½ngel: bzrp music sessions, vol","arcangel, bizarrap",2,2023,3,22,654,3,100409613,11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30,"arcï¿½ï¿½ngel: bzrp music sessions, vol arcangel, bizarrap"
dogtooth,"tyler, the creator",2,2023,3,27,1479,0,80758350,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32,"dogtooth tyler, the creator"
10:35,"tiï¿½ï¿½sto, tate m",2,2022,11,1,4942,26,325592432,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10,"10:35 tiï¿½ï¿½sto, tate m"
sorry not sorry,"tyler, the creator",2,2023,3,31,709,0,58473276,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20,"sorry not sorry tyler, the creator"
happy,nf,1,2023,3,25,660,0,52722996,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4,happy nf
la bebe,yng lvcas,1,2021,12,24,489,17,191945597,4,11,5,1,2,170,D,Minor,78,75,46,62,0,12,35,la bebe yng lvcas
i know - pr1svx edit,"kanii, pr1isvx",2,2023,3,24,407,0,77377503,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7,"i know - pr1svx edit kanii, pr1isvx"
