track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined,peak_position,weeks_on_chart
"you're on your own, kid",taylor swift,1,2022,10,21,2537,2,348647203.0,8,18,20,0,1,120,D,Major,69,40,39,41,0,13,6,"you're on your own, kid taylor swift",8,6
all i want for christmas is you,mariah carey,1,1994,10,28,25653,0,1449779435.0,387,132,"2,094",0,,150,G,Major,34,33,63,16,0,7,4,all i want for christmas is you mariah carey,1,614
last christmas,wham!,1,1984,1,1,22153,0,1159176109.0,274,111,"1,302",0,,107,B,Minor,74,88,65,28,0,46,3,last christmas wham!,4,244
rockin' around the christmas tree,brenda lee,1,1958,1,1,14994,0,769213520.0,191,168,206,0,,140,G#,Major,70,85,41,71,0,45,5,rockin' around the christmas tree brenda lee,1,518
jingle bell rock,bobby helms,1,1957,1,1,10326,0,741301563.0,165,99,104,0,,119,D,Major,74,78,37,84,0,6,3,jingle bell rock bobby helms,3,464
santa tell me,ariana grande,1,2013,12,13,9408,0,834129063.0,231,106,439,0,,133,G,Major,46,53,63,5,0,30,18,santa tell me ariana grande,11,85
it's the most wonderful time of the year,andy williams,1,1963,10,14,8879,0,663832097.0,182,107,160,0,1,202,G,Major,24,76,60,77,0,12,4,it's the most wonderful time of the year andy williams,5,259
underneath the tree,kelly clarkson,1,2013,10,25,6596,0,485285717.0,144,99,251,0,0,160,G#,Major,51,69,81,0,0,21,5,underneath the tree kelly clarkson,11,121
mistletoe,justin bieber,1,2011,1,1,9577,0,629173063.0,195,111,310,0,0,162,F#,Minor,67,88,54,51,0,9,4,mistletoe justin bieber,11,39
sleigh ride,the ronettes,1,1963,11,22,10114,0,404664135.0,114,74,262,0,0,92,D,Major,53,84,77,40,0,32,3,sleigh ride the ronettes,8,126
seek & destroy,sza,1,2022,12,9,1007,0,98709329.0,5,31,1,0,0,152,C#,Major,65,35,65,44,18,21,7,seek & destroy sza,24,10
love language,sza,1,2022,12,9,1127,0,110849052.0,16,63,8,0,0,65,A,Minor,71,55,26,85,0,13,8,love language sza,21,10
special,sza,1,2022,12,9,906,0,88092256.0,6,21,3,0,0,76,,Major,60,19,20,78,0,11,5,special sza,37,3
sos,sza,1,2022,12,9,827,0,73981293.0,6,18,1,0,0,119,G,Minor,51,51,66,67,0,9,23,sos sza,32,3
christmas (baby please come home),darlene love,1,1963,11,22,9122,0,242767149.0,121,58,212,0,0,126,D#,Major,34,35,76,39,0,8,5,christmas (baby please come home) darlene love,15,62
gone girl,sza,1,2022,12,9,892,0,65362788.0,3,17,2,0,0,150,F,Major,43,42,44,57,0,15,6,gone girl sza,43,3
i hate u,sza,1,2021,12,3,4094,0,356709897.0,66,96,43,0,0,107,G,Minor,54,41,39,51,0,11,16,i hate u sza,7,60
maroon,taylor swift,1,2022,10,21,2304,0,317726339.0,12,16,14,0,0,108,G,Major,64,4,40,6,0,10,6,maroon taylor swift,3,6
bejeweled,taylor swift,1,2022,10,21,2699,0,328207708.0,39,35,22,2,0,164,G,Major,70,39,56,6,0,9,7,bejeweled taylor swift,6,6
sacrifice,the weeknd,1,2022,1,7,4440,0,326792833.0,81,77,133,0,,122,G,Major,70,91,79,3,0,7,10,sacrifice the weeknd,11,10
out of time,the weeknd,1,2022,1,7,3711,0,339659802.0,49,88,62,0,,93,,Minor,65,82,74,27,0,32,5,out of time the weeknd,32,3
pepas,farruko,1,2021,6,24,14114,17,1309887447.0,252,109,965,20,,130,G,Major,76,44,77,1,0,13,3,pepas farruko,25,47
take my breath,the weeknd,1,2021,8,6,2597,0,130655803.0,17,80,38,0,0,121,A#,Minor,70,35,77,1,0,26,4,take my breath the weeknd,6,57
take my breath,the weeknd,1,2021,8,6,6392,0,432702334.0,174,73,344,0,0,121,G#,Major,75,53,74,2,0,11,5,take my breath the weeknd,6,57
good 4 u,olivia rodrigo,1,2021,5,14,15563,6,1887039593.0,259,55,461,1,,166,F#,Minor,56,68,66,28,0,11,18,good 4 u olivia rodrigo,1,310
need to know,doja cat,1,2021,6,11,6672,0,1042568408.0,125,36,150,0,,130,C#,Major,66,19,61,30,0,9,7,need to know doja cat,8,264
montero (call me by your name),lil nas x,1,2020,9,18,12329,0,1735441776.0,275,19,738,0,,179,G#,Minor,61,76,51,30,0,38,15,montero (call me by your name) lil nas x,1,123
