track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,combined,date,peak_position,weeks_on_chart,current_position
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2022-10-01,1,25,1
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2022-11-01,1,30,16
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2022-12-01,1,34,8
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2023-01-01,1,39,31
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2023-02-01,1,43,9
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2023-03-01,1,47,12
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2023-04-01,1,51,15
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2023-05-01,1,56,20
as it was,harry styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,as it was harry styles,2023-06-01,1,60,22
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-01-01,3,3,11
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-02-01,2,7,2
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-03-01,2,11,2
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-04-01,2,15,3
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-05-01,1,20,2
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-06-01,1,24,3
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-07-01,1,28,8
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-08-01,1,33,17
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-09-01,1,37,19
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-10-01,1,42,25
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-11-01,1,46,28
kill bill,sza,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,kill bill sza,2023-12-01,1,50,49
like crazy,jimin,1,2023,3,24,596,68,363369738.0,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4,like crazy jimin,2023-05-01,1,5,97
sabor fresa,fuerza regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,sabor fresa fuerza regida,2023-08-01,26,5,50
sabor fresa,fuerza regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,sabor fresa fuerza regida,2023-09-01,26,9,58
sabor fresa,fuerza regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,sabor fresa fuerza regida,2023-10-01,26,14,79
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-03-01,3,4,5
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-04-01,1,8,2
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-05-01,1,13,1
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-06-01,1,17,1
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-07-01,1,21,1
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-08-01,1,26,2
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-09-01,1,30,3
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-10-01,1,35,6
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-11-01,1,39,6
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2023-12-01,1,43,14
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2024-01-01,1,48,36
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2024-02-01,1,52,12
last night,morgan wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,last night morgan wallen,2024-03-01,1,56,15
rush,troye sivan,1,2023,7,13,864,78,22581161.0,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,rush troye sivan,2023-08-01,77,2,88
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2022-11-01,1,1,1
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2022-12-01,1,5,1
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-01-01,1,10,8
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-02-01,1,14,3
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-03-01,1,18,8
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-04-01,1,22,7
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-05-01,1,27,10
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-06-01,1,31,12
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-07-01,1,35,12
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-08-01,1,40,22
anti-hero,taylor swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,anti-hero taylor swift,2023-09-01,1,44,18
